ID_ORG,RECORD_DEFUNCT_RISK,BUS_DESCRIPTION_1,BUSCODE_1,ORGANISATION,ADDRESS,LOCATION,STATE,POSTCODE,REGION,PHONE1,PHONE2,TOLLFREE1,TOLLFREE2,MOBILE1,MOBILE2,FAX,EMAIL1,EMAIL2,WEBSITE,NUMOFEMP,YEAR_ESTABLISHED,ANZSIC_CODE_1,ANZSIC_DESCRIPTION_1,BUSCODE_2,BUS_DESCRIPTION_2,ANZSIC_CODE_2,ANZSIC_DESCRIPTION_2,ID_ORG2018,RECORD_DATE
12373297,,Floor Mats & Mat Hire Service,133102944,Latham Entry Mats & Grid Mats,14 Tennyson Rd,GOOSEBERRY HILL,WA,6076,PERTH,,,1300528426,,,,0298797666,info@latham-australia.com,sales@latham-australia.com,www.latham-australia.com,,1948,1331,Textile Floor Covering Manufacturing,,,,,12373297,18/01/2016 0:00
12373298,,Access & Grating Covers,203401016,"Latham Grates, Grids & Trench Covers",14 Tennyson Rd,GOOSEBERRY HILL,WA,6076,PERTH,,,1300528426,,,,,info@latham-australia.com,,www.latham-australia.com,,1948,2034,Concrete Product Manufacturing,,,,,12373298,18/01/2016 0:00
12788745,,Brokers - Mortgage & Lending,641101586,123 Home Loans,11 Lindsay St,PERTH,WA,6000,PERTH,0892283668,0893252816,,,,,,,,,,,6411,Financial Asset Broking Services,641104054,Mortgage Loans,6411,Financial Asset Broking Services,12788745,13/12/2012 0:00
12788748,,Furniture Restorations & Repairs,949903064,1300LEATHER.com.au,,PERTH,WA,6000,PERTH,,,,,0435734613,,,,,,,,9499,Other Repair and Maintenance n.e.c.,,,,,12788748,1/02/2015 0:00
12788753,,Restaurants,451104888,185 Bar & Restaurant,185 St Georges Tce,PERTH,WA,6000,PERTH,0892263355,,,,,,,,,,,,4511,Cafes and Restaurants,,,,,12788753,1/04/2013 0:00
12788798,,Dentists & Dental Clinics,853102376,A City Dental Centre,"3rd Floor, 40 St Georges Tce",PERTH,WA,6000,PERTH,0893252464,,,,,,,,,,,,8531,Dental Services,,,,,12788798,28/04/2010 0:00
12788814,,Waste Reduction & Disposal Equipment & Machinery,291106064,A West Bin,,PERTH,WA,6000,PERTH,0892491100,0892489196,,,,,0892496866,info@westbin.com.au,,www.westbin.com.au,21 to 50,1986,2911,Solid Waste Collection Services,291104960,Rubbish & Waste Removal,2911,Solid Waste Collection Services,12788814,1/02/2015 0:00
12788858,med,Optometrist,853204254,Abernethy Owens Optometrists,888 Hay St,PERTH,WA,6000,PERTH,0893355866,0894868855,,,,,0894817626,city@abernethyowens.com.au,,www.abernethyowens.com.au,,,8532,Optometry and Optical Dispensing,,,,,12788858,13/12/2012 0:00
12788878,med,Credit Reporting Agencies,729302286,Abta Credit Information Services,36 Brisbane St,PERTH,WA,6001,PERTH,0894270804,,,,,,,,,,,,7293,Credit Reporting and Debt Collection Services,,,,,12788878,1/02/2015 0:00
12788885,,Stationery - Commercial & Retail,427205442,Accent Kurths Rubber Stamps,1St Floor 68 St Georges Tce,PERTH,WA,6000,PERTH,0893218144,,,,,,,info@accentrubberstamps.com.au,,www.accentrubberstamps.com.au,,,4272,Stationery Goods Retailing,259904952,Rubber & Metal Stamp Makers' Supplies & Equipment,2599,Other Manufacturing n.e.c.,12788885,14/09/2011 0:00
