NETP_ID,INVALID,PROTOCOL_ID,AMENDED_BY_ID,AMENDED_REG_ID,REGISTRATION_ID,H_REGISTRATION_ID,CHECK4,CHECK5,CHECK2,CHECK3,CHECK1,AMENDMENT,CREATED_AT,CREATED_BY,MODIFIED_BY,DATE_UPDATE,MODIFIED_AT,CHANGE_DATE
1000602,0,NULL,NULL,NULL,1000437,1681,0,0,NULL,0,NULL,0,2015-02-25 14:05:53.000000,990379,990379,2015-04-08,2015-02-25 14:05:53.000000,2015-03-04 00:00:00.000000
1000587,0,NULL,NULL,NULL,1000433,1702,0,0,NULL,0,NULL,0,2015-02-19 11:19:31.000000,3BDD3828BD4F0B40,3BDD3828BD4F0B40,2015-04-08,2015-02-19 11:19:31.000000,2015-02-26 00:00:00.000000
1000665,0,2,NULL,NULL,1000463,1761,0,0,NULL,0,NULL,0,2015-04-09 12:02:18.000000,5D3362E809A70875,5D3362E809A70875,2015-05-08,2015-04-09 12:02:18.000000,2015-04-20 00:00:00.000000
1000631,0,NULL,NULL,NULL,1000469,1762,0,0,NULL,0,NULL,0,2015-04-23 01:51:53.000000,71FF2B8411347D27,71FF2B8411347D27,2015-05-08,2015-04-23 01:51:53.000000,2015-04-27 00:00:00.000000
1000631,0,NULL,1000473,NULL,1000469,1763,0,0,NULL,0,NULL,0,2015-04-23 01:51:53.000000,71FF2B8411347D27,71FF2B8411347D27,2015-05-08,2015-04-23 01:51:53.000000,2015-04-29 00:00:00.000000
1000822,0,NULL,NULL,NULL,1000528,1801,0,0,NULL,0,NULL,0,2015-09-28 17:15:03.000000,69AE2A865F3E6B3C,69AE2A865F3E6B3C,2015-10-06,2015-09-28 17:15:03.000000,2015-10-01 00:00:00.000000
1000633,0,NULL,1000456,NULL,1000454,1861,0,0,NULL,0,NULL,0,2015-03-17 16:04:00.000000,9A65B5,9A65B5,2016-03-08,2015-03-17 16:04:00.000000,2015-03-27 00:00:00.000000
1001260,0,NULL,NULL,NULL,1000645,2321,0,1,NULL,0,NULL,0,2017-01-25 14:27:28.000000,9C7C0D,9C7C0D,2017-03-17,2017-01-25 14:27:28.000000,2017-02-06 00:00:00.000000
1000516,0,NULL,NULL,NULL,1000393,2381,0,0,NULL,0,NULL,0,2015-01-30 17:40:48.000000,55D1354CD32153EB,55D1354CD32153EB,2017-06-22,2015-01-30 17:40:48.000000,2015-02-06 00:00:00.000000
1001594,0,NULL,NULL,NULL,1000732,2763,0,0,NULL,0,0,0,2018-03-31 13:21:56.000000,m1ss,m1ss,2018-03-31,2018-03-31 13:21:56.000000,2015-07-06 00:00:00.000000
1000578,0,NULL,NULL,NULL,1000429,3763,0,0,0,0,0,0,2015-02-16 17:53:37.000000,9C0422,9C0422,2019-01-22,2015-02-16 17:53:37.000000,2015-02-20 00:00:00.000000
1001426,0,NULL,NULL,NULL,1000688,3823,0,0,0,0,0,0,2017-08-14 15:16:55.000000,9C59CA,9C59CA,2019-01-29,2017-08-14 15:16:55.000000,2017-08-24 00:00:00.000000
1000606,0,NULL,NULL,NULL,1000441,3845,0,1,0,0,0,0,2015-03-04 13:14:37.000000,9BCC5C,9BCC5C,2019-02-20,2015-03-04 13:14:37.000000,2015-03-19 00:00:00.000000
1000542,0,NULL,NULL,NULL,1000412,3963,0,1,0,0,0,0,2015-02-09 16:44:02.000000,993D1E,993D1E,2019-06-26,2015-02-09 16:44:02.000000,2015-02-13 00:00:00.000000
1000374,0,NULL,NULL,NULL,1000329,1588,0,1,NULL,0,NULL,0,2014-12-14 20:36:49.000000,3587AB66F6B3569A,3587AB66F6B3569A,2015-01-14,2014-12-14 20:36:49.000000,2015-01-08 00:00:00.000000
1000605,0,NULL,NULL,NULL,1000438,1701,0,0,NULL,0,NULL,0,2015-02-27 09:50:05.000000,996D80,996D80,2015-04-08,2015-02-27 09:50:05.000000,2015-03-13 00:00:00.000000
1001005,0,NULL,NULL,NULL,1000580,1881,0,0,NULL,0,NULL,0,2016-03-23 12:16:44.000000,69704B48B6E7E8B4,69704B48B6E7E8B4,2016-04-01,2016-03-23 12:16:44.000000,2016-03-28 00:00:00.000000
1000499,0,NULL,NULL,NULL,1000381,2149,0,0,NULL,0,NULL,0,2015-01-26 13:13:57.000000,99013C,99013C,2016-11-30,2015-01-26 13:13:57.000000,2015-01-26 00:00:00.000000
1000402,0,NULL,NULL,NULL,1000349,2150,0,0,NULL,0,NULL,0,2014-12-29 11:59:40.000000,386CDAF75E238486,386CDAF75E238486,2016-11-30,2014-12-29 11:59:40.000000,2014-12-29 00:00:00.000000
1000405,0,NULL,NULL,NULL,1000376,2151,0,0,NULL,0,NULL,0,2015-01-23 13:07:16.000000,9BDAF2,9BDAF2,2016-11-30,2015-01-23 13:07:16.000000,2015-01-23 00:00:00.000000
