IPAddress,Name,Bundle,AppType
10.126.108.21,DBEncryptionAndVAMigration,BasePlatform,Packages
10.126.108.21,myWizard.AIMSP.DB,BasePlatform,DB
10.126.108.21,myWizard.AIOCR.DB,BasePlatform,DB
10.126.108.21,myWizard.AISimilarityAnalytics.DB,BasePlatform,DB
10.126.108.21,myWizard.AIViabilityPredictor.DB,BasePlatform,DB
10.126.108.21,myWizard.Core,BasePlatform,DB
10.126.108.21,myWizard.DeliveryWidgetViewService,BasePlatform,Services
10.126.108.21,myWizard.Describe.DB,myIndustry,DB
10.126.108.21,myWizard.Discover.DB,myIndustry,DB
10.126.108.21,myWizard.EmailManagementService,BasePlatform,Services
10.126.108.21,myWizard.ENS.EventEngineService,BasePlatform,Services
10.126.108.21,myWizard.ENS.EventNotifierRetryService,BasePlatform,Services
10.126.108.21,myWizard.ENS.EventNotifierService,BasePlatform,Services
10.126.108.21,myWizard.EnterpriseTransformation.DB,myIndustry,DB
10.126.108.21,myWizard.EntityRuleManagement.MappingService,BasePlatform,Services
10.126.108.21,myWizard.GatewayManager.ADDataLoaderTemplate,BasePlatform,Packages
10.126.108.21,myWizard.GatewayManager.AgileEntitiesGenericUploader,BasePlatform,Packages
10.126.108.21,myWizard.GatewayManager.AzureDevOpsAgileOnlineOutboundService,BasePlatform,Packages
10.126.108.21,myWizard.GatewayManager.AzureDevOpsScrumOnlineOutboundService,BasePlatform,Packages
10.126.108.21,myWizard.GatewayManager.BPHInboundService,BasePlatform,Packages
