Company,Name,Mobile,Email,Address,Pincode,City,Website,Category,Sub-category,State
Balaji Digital,NULL,9950733406,balajidigitalmys@gmail.com,Prithviraj Marg Bhasina Complex G-25,305001,Ajmer,NULL,Photography,Photography Studios,
Sattvika,Nidhi Gupta,9915586990,sattvika_fashion@yahoo.com,Mohali Sector 27A 38,160002,Chandigarh,NULL,Photography,Photography Studios,
K C Studio,narendra kumar,9855443301,finekcstudio@yahoo.co.in,Sector 40 Sector 40C SCO 79,160036,Chandigarh,www.kcstudio.in,Photography,Photography Studios,
Dynamic Studio,Vivek Bhardwaj,9815613380,dynamicstudio8@yahoo.com,"Sector 8 Sector 8 C, Madhya Marg SCO 181-182",160009,Chandigarh,www.dynamicstudiochandigarh.com,Photography,Photography Studios,
Studio Art Point,Inder Sharma,9888274163,studios.artpoint@gmail.com,Panchkula NULL SCO 286,134108,Chandigarh,NULL,Photography,Digital Photography,
A T Images,NULL,9876098981,chapaiankur@gmail.com,Sector 36 NULL Sco-102,160036,Chandigarh,www.atimages.in,Photography,Photography Studios,
I Photograph,Prateek Thakur,9872521919,prateek.thakur@me.com,Sector 21  H.no.- 1292,160022,Chandigarh,NULL,Photography,Digital Photography,
Sony Studio & Colour Lab,Mukesh Goyal,9888519129,studio46_sony@rediffmail.com,Sector 46 Sector 46 C 67/68,160047,Chandigarh,NULL,Photography,Photography Labs,
Friends Graphics,Rahul,9876780786,friendsgraphics34@gmail.com,Sector 34 Sector 34 A 13/15,160022,Chandigarh,NULL,Photography,Glamour Photography,
Deep Studio,Vikas Jaiswal,9316455402,vikas_deep32@yahoo.com,Sector 47 EMC Bank Lane Jakari 29,160047,Chandigarh,NULL,Photography,Photography Labs,
Vaaho Portraits,Krishna,9779440900,vaahophoto@yahoo.com,"Sector 22 Hal 3rd Stage, 4th Cross 1050",160022,Chandigarh,NULL,Photography,Photography Studios,
Roxy Color Lab,Subash Bhatia,9814600368,roxy22chd@gmail.com,Sector- 22 Shivaji Park SCO-1026-1027,160017,Chandigarh,NULL,Photography,Photography Labs,
Sweety Digital Photo & Telecom Centre,Harpreet Singh,9888101518,sweetydigitalphotolab22@gmail.com,Sector 22 Nesbit Road SCO 1004,160022,Chandigarh,NULL,Photography,Digital Photography,
Rainbow Digital Photo Lab,J L Gandhi,9855393940,rainbowlab@redifffmail.com,Sector 22  1045,160022,Chandigarh,NULL,Photography,Digital Photography,
Venus Color Lab,Pardeep Kumar,9815506446,venuslab22@gmail.com,Sector 22 Sector 8 B SCO 1030-31,160022,Chandigarh,NULL,Photography,Digital Photography,
Procolor Photogarphics Pvt Ltd,V K Sood,9316131194,procolor@indiatimes.com,Sector 35 Mandi Veerappa Lane SCO 445-46,160022,Chandigarh,NULL,Photography,Photography Studios,
Reflections Studios & digital Color Lab,Dhruv Khurana,9953991000,reflections.studios@gmail.com,M G Road  165,122002,Gurgaon,NULL,Photography,Photography Studios,
Anand Studio,R K Anand,9811752828,anandstudiofaridabad@gmail.com,"Faridabad City Air Force Road,  Dabua Sabzi Mandi Chowk ",121001,Faridabad,NULL,Photography,Photography Studios,
Allied Videos Videographers & Photographers,Jitender,9810658758,alliedvideos_digitalsolutions@rediffmail.com,Sector 15 Jacobpura 110/6,122001,Gurgaon,NULL,Photography,Photography Studios,
Kapur Color Lab,Rishi Kapur,9811391035,rishikapoor80@hotmial.com,Sector 27 Saraswati Vihar 704,122002,Gurgaon,NULL,Photography,Photography Studios,
