idvo,pubvo,nazvvo,textvo,vkladvo
3,1,Required documents for visas for members of official delegations,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for members of official delegations:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A letter <b>(original)</b> issued by a competent authority of a Member State or by a European institution confirming that the applicant is a member of a delegation traveling to the territory of the Russian Federation (in accordance with subparagraph «a» of paragraph 1 of Article 4 of the Agreement); </li><li>An official invitation <b>(copy)</b> of a competent host authority of the Russian Federation (in accordance with subparagraph «a» of paragraph 1 of Article 4 of the Agreement); </li><li>A filled in and signed personally by the applicant visa application form with one passport photo; </li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa; </li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno003]
1,1,Required documents for visas for members of national and regional Governments and Parliaments,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for members of national and regional Governments<br>and Parliaments:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>An official letter from the national or regional Government or the Parliament or the Supreme Courts;</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno001]
2,1,Required documents for visas for spouses and children of the citizens the European Union,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for spouses and children of the citizens<br>the European Union:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request <b>(original or copy)</b> from the host citizen of the European Union (in accordance with subparagraph «j» of paragraph 1 of Article 4 of the Agreement). The signature of the host person shall be legalized by a notary according to Russian legislation in force;</li><li>Proof of relationship documents;</li><li>A document showing that the EU citizen legally resides in the territory of the Russian Federation (permit for temporary residence, study or work visa for a period exceeding 90 days);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno002]
4,1,Required documents for visas for business people,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for business people:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request <b>(original or copy)</b> from host Russian legal person or company, organization, or an office or their branches, state and local authorities of the Russian Federation or organizing committees of trade and industrial exhibitions, conferences and symposia held in the territory of the Russian Federation (in accordance with subparagraph «b» of paragraph 1 of Article 4 of the Agreement); </li><li>A filled in and signed personally by the applicant visa application form with one passport photo; </li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa; </li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa. </li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno004]
5,1,Required documents for visas for drivers,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for drivers:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request <b>(original)</b> from the national association (union) of carriers of a Member State, providing for international road transportation, stating the purpose, duration and frequency of the trips (in accordance with subparagraph «c» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno005]
6,1,"Required documents for visas for members of train, refrigerator and locomotive crews","<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for members of train, refrigerator<br>and locomotive crews:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request (original) from the competent railway company of a the Member State stating the purpose, duration and frequency of the trips (in accordance with subparagraph «d» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa; </li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno006]
7,1,"Required documents for visas for persons participating in scientific, cultural and artistic activiti","<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for persons participating in scientific, cultural<br>and artistic activities:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request <b>(original or copy)</b> from the host organization to participate in those activities (in accordance with subparagraph «f» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno007]
8,1,Required documents for visas for participants of international sports events,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for participants of international<br> sports events:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request <b>(original or copy)</b> from the host organization: competent authorities, national sport Federations of the Russian Federation or National Olympic Committee of the Russian Federation (in accordance with subparagraph «h» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno008]
9,1,Required documents for visas for journalists,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for journalists:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A certificate or other document (original) issued by a professional organization proving that the person concerned is a qualified journalist (in accordance with subparagraph «e» of paragraph 1 of Article 4 of the Agreement);</li><li>A document issued by his/her employer (original) stating that the purpose of the journey is to carry out journalistic work (in accordance with subparagraph «e» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno009]
10,1,Required documents for visas for participants of exchange programmes between twin cities,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1>Required documents<br>for visas for participants of exchange programmes<br>between twin cities:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2><ol><li>A written request (original) of the Head of Administration/Mayor of a European Union city confirming that the applicant is a member of a delegation (in accordance with subparagraph «i» of paragraph 1 of Article 4 of the Agreement);</li><li>An official invitation (copy) of the Head of Administration/Mayor of a host Russian city (in accordance with subparagraph «i» of paragraph 1 of Article 4 of the Agreement);</li><li>A filled in and signed personally by the applicant visa application form with one passport photo;</li><li>Passport or travel document that is valid at least 6 months after the expiry date of the visa;</li><li>Proof of health insurance (copy) that is valid in the Russian Federation during the validity period of the visa.</li></ol></div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">open the list</span></a> <span class=""vklad4"">►</span>",[vokno010]
