id,slideshow,body,name,extra,title,body_h,body_f,name_f,name_h,title_h,title_f,extra_h,extra_f,key_words,main_image,description,key_words_h,key_words_f,description_f,description_h
1,general.swf,The Meir Panim - Relief Centers in Israel - network of food centers has {1} branches located throughout the country. Its catering service provides {101} free meals to the poor while serving them in a dignified manner.,Meir_Panim,"<table width=""230"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"">\r\n                  <tr>\r\n                    <td><table width=""230"" bord",Meir Panim - Relief Centers in Israel/Soup Kitchen in Israel,,,,מאיר פנים,,,,,"Meir Panim Relief Centers in Israel, Soup Kitchen in Israel, Meir Panim, Power of Giving, meals for children, complete recovery, charity and justice, food center, food kitchen, food centers, catering, the hungry, meals, furniture, the poor, legal con",Meir_Panim.jpg,The Meir Panim - Relief Centers in Israel/Soup Kitchen in Israel - network of food centers has {1} branches located throughout the country. Its catering service provides {101} free meals to the poor while serving them in a dignified manner. The meals,,NULL,,
2,general.swf,"Meir Panim was established in 2000 by David and Rivka Zilbershlag in loving memory of their son, Meir z""l, who passed away after a short battle with a sudden infection.  During Meir's short life of thirteen years and two months, he could not enjoy food due to a rare liver disease.  Today, thousands of people enjoy food each and every day in his merit.\n\nMany people dream of   contributing, in their own way, to world peace.    Meir Panim helps realize that dream by recruiting a colorful tapestry of volunteers from all walks of life, who work side by side to assist our brothers, sisters, and children in need.\n",Background,,Background,ארגון,Meir,Historique,רקע,כיצד ארגון נוסד מאיר פנים,Historique,,,"Background, History, David, Rivka, Zilbershlag, Meir",background_sl.jpg,"Meir Panim was established in 2000 by David and Rivka Zilbershlag in loving memory of their son, Meir z""l, who passed away after a short battle with a sudden infection.  During Meir's short life of thirteen years and two months, he could not enjoy fo","רקע, הסטוריה, מאירקה, דודי, דוד, רבקה, רבקו, זילברשלג",NULL,"Meir Panim a été crée en 2001 par David et Rivka Zilbershlag en souvenir de leur fils adoré Meir z ‘’l , disparu des suites d’une longue maladie. Pendant sa courte vie de 13 ans et 2 mois, Meir ne pouvait pas se nourrir correctement à cause d’une maladie rare affectant son foie.",ארגון
3,general.swf,"\r\nAmerican Friends of Meir Panim’s mission is to alleviate and diminish the harmful effects of poverty on thousands of families across Israel by supporting a range of food and social service programs aimed at helping the needy with dignity and respect, including free restaurants, meals-on-wheels, school lunch programs, prepaid food card distribution, vocational training and after-school youth clubs.\r\n",Our_Mission,,Our Mission,,La,Notre mission,תוכניות לעתיד,תוכניות לעתיד,Notre mission,,,"Our, Mission, Future",,Meir Panim was established with the intent of mending the rifts in Israeli society.,"תוכניות, לעתיד",NULL,,
4,general.swf,"<span class=""headerblue"">Dignified Dining</span><br />\r\n                  <br />\r\nThe foundation of Meir Panim's food services is its network of free restaurants in distressed cities throughout Israel. The free restaurants are Meir Panim's idea of soup kitchens. They are designed to look like restaurants which provide quality food in an exclusive dining setting to those in need. The purpose of this setting is to maintain Meir Panim's firm commitment to preserve the utmost respect and dignity of its patrons.\r\n<br />\r\n<br />\r\nThe free restaurants are designed to have the look and feel of a restaurant, with tasteful decor and ambiance. Daily menus are designed by a nutritionist to include all of the main food categories and vitamins that are vital for proper nutrition, which needy individuals can ill-afford. Diners also have the option of taking home packaged food to eat in the privacy of their own homes.\r\n<br />\r\n<br />\r\n<table style=float:left width=""130"" border=""0"" cellspacing=""0"" cellpadding=""0"">\r\n                            <tr>\r\n                              <td height=""102"" valign=""top""><table width=""120"" height=""90"" border=""0"" align=""left"" cellpadding=""0"" cellspacing=""0"">\r\n                                  <tr>\r\n                                    <td align=""center"" valign=""middle"" background=""images/frame_120X90_green.gif""><img src=""http://www.meirpanim.org/images/116X86/001.jpg"" width=""116"" height=""86""></td>\r\n                                  </tr>\r\n                              </table></td>\r\n                            </tr>\r\n                          </table><span class=""headerblue"">Giving with a full heart</span><br />\r\n<br />\r\nThe meals are served by volunteers who provide more that just a hot, nutritious meal - they offer a warm smile, a sympathetic ear, and a helping hand to our patrons.<br />\r\n<br />\r\n<table style=float:left width=""130"" border=""0"" cellspacing=""0"" cellpadding=""0"">\r\n                            <tr>\r\n                              <td height=""102"" valign=""top""><table width=""120"" height=""90"" border=""0"" align=""left"" cellpadding=""0"" cellspacing=""0"">\r\n                                  <tr>\r\n                                    <td align=""center"" valign=""middle"" background=""images/frame_120X90_green.gif""><img src=""http://www.meirpanim.org/images/116X86/warm_atmosphere.jpg"" width=""116"" height=""88""></td>\r\n                                  </tr>\r\n                              </table></td>\r\n                            </tr>\r\n                          </table><span class=""headerblue"">A warm atmosphere</span><br />\r\n<br />\r\nThe atmosphere at the Meir Panim free restaurants is relaxed and warm. Over time, camaraderie develops and the restaurants become a ""second home"" for many of the patrons. Troubled diners open up to the caring volunteers who are always ready to listen, encourage, and assist in any way possible.\r\n<br />\r\n<br />\r\n<strong class=""date10News"">Meir Panim currently operates \r\n{1} \r\nfree restaurants throughout Israel.\n\r\n\n\r\n{101} hot and nutritious meals are served in the free restaurants daily.</strong> \n\r\n\n",Free_Restaurants_-_Soup_Kitchens,,Meir Panim - Soup Kitchens in Israel,,,Les restaurants Meir Panim,מאיר פנים - מרכזים לרווחה משלימה,מאיר פנים - מרכזים לרווחה משלימה - רשת בתי מזון בישראל,Les restaurants Meir Panim,יש {1}  סניפים,Meir_Panim.jpg,"Meir Panim, Mifal Chaim, Power of Giving, Meals for Children, complete recovery, charity and justice, food center, food kitchen, food centers, catering, the hungry, meals, furniture, the poor, legal consultation, medical examination, food for needy s",000.jpg,description,"מאיר, פנים, מרכזים, לרווחה, משלימה, רשת, בתי, מזון, בישראל",NULL,,מאיר פנים - מרכזים לרווחה משלימה רשת בתי מזון בישראל
5,mfc.swf,,Meals_for_Children,,Meals for Children,,,Repas pour les enfants,ארוחות ילדים,ארוחת ילדים,Repas pour les enfants,,,"Meals, Children, lunch, hungry",mfc1_sl.jpg,"Innocent young children are very likely the most unfortunate victims of Israel’s economic crisis.  The latest report on poverty statistics, issued in November of 2012 by the National Insurance Institute, reveals there are now {27} children living below","ארוחות, צהריים, ילדים, רעבים",NULL,,פרוייקט מאיר פנים - ארוחת ילדים נועד להבטיח כי כל ילד בישראל יקבל לכל הפחות ארוחה חמה אחת מדי יום
6,pog.swf,"<span class=""headerblue"">Poverty in the Home</span><br />\r\n                  <br />\r\nToo many needy Israeli individuals and families live in shameful conditions, lacking basic amenities for the home and even bare essentials like a bed, refrigerator, table and chairs, stove, or a baby carriage. With the poverty rate in Israel currently standing at 25%, thousands of people struggle to furnish their homes with even the most basic of necessities.<br />\r\n<br />\r\n\r\n<table style=float:left width=""130"" border=""0"" cellspacing=""0"" cellpadding=""0"">\r\n                            <tr>\r\n                              <td height=""102"" valign=""top""><table width=""120"" height=""90"" border=""0"" align=""left"" cellpadding=""0"" cellspacing=""0"">\r\n                                  <tr>\r\n                                    <td align=""center"" valign=""middle"" background=""images/frame_120X90_green.gif""><img src=""images/116X86/meir_",The_Power_of_Giving_-_Koach_Latet,,The 'Koach Latet' Power of Giving Second-Hand Warehouses,,,Koah Latet,כח לתת - מרכז ציוד לנזקקים,כח לתת - מרכז ציוד לנזקקים,Koah Latet,,,"Second-Hand, Warehouses, Mifal Chaim, Meir Panim, Power of Giving, POG",pog.jpg,Power of Giving is a network of second-hand home furniture centers. The furniture is collected from homes through a 1-800-360-560 hotline located on the premises of the Jeshurun Ulpana school. Collected equipment is sent to {2}centers.,"כח לתת, ציוד, יד שניה, מרכזים, תמיכה, סיוע, נזקקים, עזרה, מאיר פנים",NULL,,כח
7,general.swf,"<span class=""headerblue"">No one wants to be seen collecting handouts...</span><br />\r\n                  <br />\r\nThe heartbreaking scenes of people waiting in long lines at food pantries have become increasingly common. Struggling families and destitute elderly and Holocaust survivors deserve to receive aid with dignity.<br />\r\n<br />\r\n\r\n<table style=float:left width=""130"" border=""0"" cellspacing=""0"" cellpadding=""0"">\r\n                            <tr>\r\n                              <td height=""102"" valign=""top""><table width=""120"" height=""90"" border=""0"" align=""left"" cellpadding=""0"" cellspacing=""0"">\r\n                                  <tr>\r\n                                    <td align=""center"" valign=""middle"" background=""images/frame_120X90_green.gif""><img src=""images/116X86/full_plate2_sl.jpg"" width=""116"" height=""86""></td>\r\n                                  </tr>\r\n                             ",Food_Shopping_Cards,,Project - Food Shopping Cards,,,Carte alimentaire,כרטיס מזון,פרוייקט כרטיס מזון,Carte alimentaire,,,Food Shopping Cards,full_plate.jpg,"The project issues magnetic cards good for food products at supermarket chains to low-income working families, providing them with dignified assistance, The Project Food Shopping Cards is designed to help people who work but still can’t make ends meet, as well as those who are temporarily out of work and actively seeking employment",,NULL,,
8,general.swf,"Those who suffer from emotional handicaps often face hardships in the management of their day-to day affairs and social and familial lives. More often than not, they are relegated to the fringes of society causing them to suffer from low self-esteem and the feeling that they are burdens on society.\r\n<br /><br />\r\nMeir Panim, in conjunction with the Ministry of Health and the National Insurance Fund, has undertaken to rehabilitate this sector of the population.\r\n\n\n\r\nMeir Panim arranges for groups of developmentally-disabled individuals to carry out rehabilitative vocational work in its network of free restaurants. The workers assist in preparing food, serving it to the diners, and packaging meals which are delivered to elderly and homebound individuals and children throughout the country. In exchange for their work, the workers receive a modest stipend. This wonderful project has given new life to these individuals, giving them a sense of independence and self-worth and has helped to reintegrate them into Israeli society. ",Occupational_Rehabilitation,,Occupational Rehabilitation,מאיר,"Meir Panim soutient les personnes handicapées qui souhaitent travailler en leur offrant de préparer et de conditionner dans nos cuisines, les repas qui seront livrés à domicile ou dans les cantines scolaires.\r\n<br /><br />\r\nMeir Panim offre également un programme de formation professionnelle qui aide ces personnes handicapées à se sentir intégrer complètement dans la société et le monde du travail.",Réinsertion  professionnelle,שיקום תעסוקתי,שיקום תעסוקתי לאנשים עם בעיות מנטליות - נפגעי נפש,Réinsertion  professionnelle,,,"Occupational, Rehabilitation",Occupationaln.jpg,"Meir Panim hires emotionally challenged individuals capable of preparing and packaging food for the soup kitchens, meals-on-wheels, and school lunches.  They receive a token wage for their work.","שיקום, תעסוקתי, מוגבלות, רגשית, מנטלית, פגועי נפש",NULL,,
9,general.swf,"<span class=""headerblue""><strong>Professional Training for Battered Women</strong>\n\r\n\n\r\nIndependence is critical</span><br />\r\n                  <br />\r\nThere are {25} abused women in Israel, spanning the entire spectrum of society.  Meir Panim helps them regain critically needed independence by offering a post-shelter rehabilitation program that launches them on a path towards emotional and financial self-sufficiency.\n\r\n\n\r\nIn collaberation with Be-Atzmi, a job training and placement organization, PTBW provides counseling, training, and aids successful integration into the workforce.  The first two PTBW programs were established in Jerusalem and Haifa.<br />\r\n<br />\r\n\r\n<span class=""headerblue"">Your Help Needed</span><br />\r\n<br />\r\nThe Professional Training for Battered Women Project is particularly critical, as it holds the key to a successful beginning of a new life for an abused woman and her children.  The project’s expenses are high and any amount you can contribute will help.  To donate, please <a href=""https://www.meirpanim.org/donation_e.php?Comments=Project for Battered Women"">click here</a> and earmark: Project for Battered Women.\n\r\n\n",Training_for_Battered_Women,,Professional Training for Battered women,,,Femmes victimes de violences,הכשרה מקצועית לנשים מוכות,הכשרה תעסוקתית לנשים מוכות,Femmes victimes de violences,,,"Battered, Women",bw.jpg,"There are {25} abused women in Israel, spanning the entire spectrum of society.  Meir Panim helps them regain critically needed independence by offering a post-shelter rehabilitation program that launches them on a path towards emotional and financia","נשים, מוכות, הכשרה, תעסוקתית",NULL,,ישנן
10,general.swf,,After-School_Youth_Clubs,,After-School Youth Clubs,,,Les ateliers de soutien scolaire,מועדוניות נוער,מועדוניות אחרי הצהריים לנוער,Les ateliers de soutien scolaire,,"<span class=""headerblue""> After school youth clubs</span><br />\r\n                  <br />\r\n                  <strong>The key to breaking out of the cycle of poverty and building a successful life is education</strong>. To keep needy children mainstreamed","Youth, Clubs, After-School",yc.jpg,"The key to breaking out of the cycle of poverty and building a successful life is education. To keep needy children mainstreamed and provide them with a supportive environment, Meir Panim established nine After-School Youth Clubs where professionals","מודעונים, מועדוניות, נוער, אחרי הצהריים, חינוך משלים",NULL,,
