CalendarID,CalendarURL,CalendarDate,CalendarForum,CalendarPlace,CalendarTitle2,CalendarTitle1,CalendarActive
1,NULL,2012-01-19,Quarterly Board Meeting,Board President's Offices,NULL,PBGH Board of Directors,1
5,NULL,2012-05-22,Community Forum,Marriott Pittsburgh City Center,NULL,Strategies on Benefits & Wellness,1
2,NULL,2012-02-07,Community Forum,Marriott Pittsburgh City Center,NULL,Health Care Executives Leadership Forum,1
3,NULL,2012-03-06,Participating PBGH Employer Members,Marriott Cranberry,Leadership Meeting,PBGH Prescription Drug Program,1
4,NULL,2012-04-26,Quarterly Board Meeting,Board President's Offices,NULL,PBGH Board of Directors,1
6,NULL,2012-07-17,Community Forum,Marriott Pittsburgh City Center,NULL,Legislative Update,1
7,NULL,2012-08-07,Participating PBGH Employer Members,Marriott Cranberry,Leadership Meeting,PBGH Prescription Drug Program,1
8,NULL,2012-08-23,Quarterly Board Meeting,Board President's Offices,NULL,PBGH Board of Directors,1
9,NULL,2012-09-06,Health Care & Benefits Conference,Marriott Pittsburgh City Center 2nd Floor,NULL,Annual Symposium,1
10,NULL,2012-12-04,Community Forum Members' Annual Meeting,Marriott Pittsburgh City Center,NULL,Annual Meeting,1
11,NULL,2012-12-13,Quarterly Board Meeting,Board President's Offices,NULL,PBGH Board of Directors,1

